English,Fon
"A record of the genealogy of Jesus Christ the son of David, the son of Abraham: ","Wěma e ɖɔ xó dó Jezu Klísu, Davídi ví, Ablaxámu ví ɔ́ sín tɔ́gbó tɔgbo lɛ́ɛ wú ɔ́ ɖíe: "
"Abraham was the father of Isaac, Isaac the father of Jacob, Jacob the father of Judah and his brothers, ","Ablaxámu ji Izáki, Izáki ka ji Jakɔ́bu, bɔ Jakɔ́bu ji Juda kpódó nɔví tɔn lɛ́ɛ kpó. "
"Judah the father of Perez and Zerah, whose mother was Tamar, Perez the father of Hezron, Hezron the father of Ram, ","Juda ji Pɛlɛ́si kpódó Zeláxi kpó ɖo Tamáa xomɛ; Pɛlɛ́si ji Hɛklɔ́ni, bɔ Hɛklɔ́ni ji Alamu; "
"Ram the father of Amminadab, Amminadab the father of Nahshon, Nahshon the father of Salmon, ","Hlamu ji Aminadabu, Aminadabu ji Naxicɔ́ni, bɔ Naxicɔ́ni ji Saluma. "
"Salmon the father of Boaz, whose mother was Rahab, Boaz the father of Obed, whose mother was Ruth, Obed the father of Jesse, ","Saluma ji Bowozi ɖo Hlaxábu xomɛ; Bowozi ji Ovɛ́di ɖo Hwliti xomɛ, bɔ Ovɛ́di ji Jɛsée; "
"and Jesse the father of King David. David was the father of Solomon, whose mother had been Uriah's wife, ",Jɛsée ka ji Davídi axɔ́sú ɔ́. Davídi ji Salomɔ́ɔ ɖo Ulíi e kú ɔ́ sín asi xomɛ
"Solomon the father of Rehoboam, Rehoboam the father of Abijah, Abijah the father of Asa, ","Salomɔ́ɔ ji Hlobowámu; Hlobowámu ji Abiya, bɔ Abiya ji Asa. "
"Asa the father of Jehoshaphat, Jehoshaphat the father of Jehoram, Jehoram the father of Uzziah, ","Asa ka ji Jozafáti; Jozafáti ji Jolámu, bɔ Jolámu ji Oziasi. "
"Uzziah the father of Jotham, Jotham the father of Ahaz, Ahaz the father of Hezekiah, ","Oziasi ji Yotámu, Yotámu ji Akázi, bɔ Akázi ji Ezekiyási; "
"Hezekiah the father of Manasseh, Manasseh the father of Amon, Amon the father of Josiah, ","Ezekiyási ka ji Manasée; Manasée ji Amɔ́ni, bɔ Amɔ́ni ji Joziyási; "
and Josiah the father of Jeconiah and his brothers at the time of the exile to Babylon. ,Joziyási ka ji Jekoniyási kpódó nɔví tɔn lɛ́ɛ kpó hwenu e ahwan wlí mɛ lɛ́ɛ hɛn yi Babilɔ́nu é. 
"After the exile to Babylon: Jeconiah was the father of Shealtiel, Shealtiel the father of Zerubbabel, ","Ée è bɛ̌ mɛ lɛ́ɛ yi Babilɔ́nu gúdo ɔ́, Jekoniyási ji Calutiyɛ́li, bɔ Calutiyɛ́li ji Zolobabɛ́li; "
"Zerubbabel the father of Abiud, Abiud the father of Eliakim, Eliakim the father of Azor, ","Zolobabɛ́li ka ji Abiwúdi; Abiwúdi ji Eliakímu, bɔ Eliakímu ji Azɔ́ɔ; "
"Azor the father of Zadok, Zadok the father of Akim, Akim the father of Eliud, ","Azɔ́ɔ ka ji Sadɔ́ki; Sadɔ́ki ji Akímu, bɔ Akímu ji Eliwúdi; "
"Eliud the father of Eleazar, Eleazar the father of Matthan, Matthan the father of Jacob, ","Eliwúdi ji Eleazáa; Eleazáa ji Matáan, bɔ Matáan ji Jakɔ́bu; "
"and Jacob the father of Joseph, the husband of Mary, of whom was born Jesus, who is called Christ. ",Jakɔ́bu ji Jozɛ́fu e da Mali é
"Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Christ. ","Jijimɛ lɛ́ɛ bǐ sín kplékplé ɖíe: bɛ́ sín Ablaxámu jí wá jɛ Davídi jí ɔ́, é bló jijimɛ wɛ̌nɛ; sín Davídi jí wá jɛ hwenu e è bɛ̌ mɛ lɛ́ɛ yi Babilɔ́nu gúdo ɔ́, é bló jijimɛ wɛ̌nɛ; sín hwenu e è bɛ̌ kannumɔ yětɔn yi Babilɔ́nu káká wá jɛ Klísu sín hwenu ɔ́, é bló jijimɛ wɛ̌nɛ. "
"This is how the birth of Jesus Christ came about: His mother Mary was pledged to be married to Joseph, but before they came together, she was found to be with child through the Holy Spirit. ","Lě e è ji Jezu Klísu gbɔn ɔ́ ɖíe: Mali, Jezu sín nɔ ɔ́, asixɔ́ntɔn Jozɛ́fu tɔn wɛ é nyí; yě ká kó jɛ kpɔ́ cóbɔ é mɔ Jezu sín xo gbɔn Yɛsinsɛn sín nǔwiwa gbla mɛ ǎ. "
"Because Joseph her husband was a righteous man and did not want to expose her to public disgrace, he had in mind to divorce her quietly. ","Jozɛ́fu Mali xɔ́ntɔn ɔ́, gbɛtɔ́ ɖé wɛ, bó nɔ́ nyi Mɔyízisɛ́n ɔ́ ganjí. É jló ná dó winnyá asi tɔn ǎ, bó ɖo linlin dó ayi mɛ wɛ ɖɔ émí ná jó e dó ɖo nǔglɔ́. "
"But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit. ","Nǔ énɛ́ lin kpɔ́n wɛ é ɖe, bɔ wɛnsagun Aklúnɔ tɔn wá xo dlɔ̌ ɛ bó ɖɔ n'i ɖɔ: “Jozɛ́fu Davídi ví, xɛsi ma ɖi we, nú a gɔn Mali da ó; ɖó xo e é mɔ ɔ́, Yɛsinsɛn sín nǔwiwa wɛ. "
"She will give birth to a son, and you are to give him the name Jesus, because he will save his people from their sins.” ","É ná ji vǐ súnnu ɖokpó, bɔ a nǎ sun nyǐ vǐ ɔ́ ɖɔ Jezu, ɖó é ná hwlɛ́n togun tɔn gán sín hwɛ tɔn lɛ́ɛ mɛ.” "
All this took place to fulfill what the Lord had said through the prophet: ,Nǔ e jɛ nɛ́ lɛ́ɛ bǐ sɔgbe xá xó e Aklúnɔ kó ɖɔ ɖ'ayǐ gbɔn gbeyíɖɔ tɔn jí é: 
"“The virgin will be with child and will give birth to a son, and they will call him Immanuel” –which means, “God with us.” ","“É ɖíe, nyɔ̌nu ɖo alɔjí ná mɔ xo, bó ná ji vǐ súnnu ɖokpó, bɔ è nǎ sun nyǐ i ɖɔ Emanuwɛ́li.” (Nyǐkɔ énɛ́ ɔ́ sín tínmɛ wɛ nyí: “Mawu ɖo kpɔ́ xá mǐ.”) "
"When Joseph woke up, he did what the angel of the Lord had commanded him and took Mary home as his wife. ","Ée Jozɛ́fu fɔ́n sín amlɔ mɛ ɔ́, é bló nǔ e wɛnsagun Aklúnɔ tɔn ɖɔ n'i ɔ́ ɖ'é jí, bó yí asi tɔn dó xwé gbe. "
